단원,단어,뜻
17 단원,check,"수표,점검,조사하다,점검하다"
17 단원,destination,목적지
17 단원,security,"보안,안전"
17 단원,delay,"지연,연기,연기하다"
17 단원,jet lag,"시차증(여행 시차에 의한 피로,신경 과민)"
17 단원,souvenir,기념품
18 단원,movie,영화
18 단원,puzzle,"수수께끼,퍼즐"
18 단원,game,"게임,시합"
18 단원,interest,"흥미,관심"
18 단원,read,읽다
18 단원,paint,"페인트칠을 하다,그림을 그리다"
18 단원,sing,"노래를 부르다,노래하다"
18 단원,draw,그림을 그리다
18 단원,picture,"사진,그림"
18 단원,musical,"뮤지컬,음악의"
18 단원,dance,"춤,춤을 추다"
18 단원,collect,모으다
18 단원,chess,"체스,서양 장기"
18 단원,hike,"하이킹하다,도보여행하다"
18 단원,comic,"희극의,만화의"
18 단원,camp,"야영,캠프,야영지,야영하다"
18 단원,pleasure,기쁨
18 단원,stamp,"우표,도장"
18 단원,jog,조깅하다
18 단원,magic,"마법,주술,마법의"
18 단원,fix,"고치다,고정시키다"
18 단원,favorite,가장 좋아하는
18 단원,pen pal,편지 친구
18 단원,mania,열광
18 단원,volunteer,"지원자,자원봉사자"
18 단원,chat,잡담하다
18 단원,model,"모형,모델,모형의,모델이 되는"
18 단원,knit,뜨개질을 하다
18 단원,leisure,"여가,한가한 시간,한가한"
18 단원,involve,"수반하다,필요로 하다"
19 단원,exercise,"운동,연습,운동하다"
19 단원,gym,체육관
19 단원,stretch,"몸을 쭉 뻗다,쭉 내밀다"
19 단원,swim,수영하다
19 단원,kick,"(걷어) 차기,발길질,발로 차다"
19 단원,pass,"(공을)패스하다,지나가다"
19 단원,outdoor,"집밖의,실외의"
19 단원,player,"경기자,선수"
19 단원,bowling,볼링
19 단원,soccer,축구
19 단원,goal,"(축구의)골,득점,목적,목표"
19 단원,shoot,"사격,쏘다,공을 차다"
19 단원,coach,"코치,지도자,마차,코치하다,지도하다"
19 단원,basketball,농구
19 단원,baseball,야구
19 단원,base,"(야구의)루,누,토대,기초"
19 단원,match,"시합,경기,경쟁 상대"
19 단원,batter,타자
19 단원,throw,"투구,던짐,던지다"
19 단원,catch,"잡다,공을 받다"
19 단원,racket,"라켓,라켓으로 치다"
19 단원,athlete,운동선수
19 단원,defender,수비수
19 단원,score,"(경기)득점,점수,득점하다"
19 단원,referee,"(운동경기)심판,심판을 보다"
19 단원,champion,"챔피언,우승자"
19 단원,sweat,"땀,(땀이 나도록)힘든 일,땀을 흘리다"
19 단원,dive,"잠수,잠수하다,물 속에 뛰어들다"
19 단원,skate,"스케이트 구두,스케이트를 타다"
19 단원,surf,"파도,파도를 타다,서핑하다"
20 단원,shop,"가게,물건을 사다"
20 단원,store,"가게,상점"
20 단원,gift,선물
20 단원,cheap,"값싼,저렴한"
20 단원,expensive,값비싼
20 단원,sale,"판매,염가 판매,세일"
20 단원,size,크기
20 단원,buy,사다
20 단원,sell,팔다
20 단원,choose,선택하다
20 단원,pay,지불하다
20 단원,business,영업
20 단원,tax,세금
20 단원,mart,"시장,거래소,슈퍼마켓"
20 단원,goods,"상품,물품"
20 단원,tag,정가표
20 단원,medium,"중간,중간의"
20 단원,cash,현금
20 단원,change,"거스름돈,변화,바꾸다"
20 단원,customer,고객
20 단원,display,"전시,진열,전시하다"
20 단원,stand,"노점,가판대"
20 단원,retail,소매
20 단원,discount,"할인,할인하다"
20 단원,receipt,영수증
20 단원,brand-name,(유명)상표가 붙은
20 단원,auction,경매
20 단원,reasonable,"(가격이)합리적인,저렴한,이치에 맞는"
20 단원,catalog,"목록,(상품 등의)카탈로그"
20 단원,quality,"질,품질"
21 단원,eat,먹다
21 단원,drink,"음료,마실 것,마시다"
21 단원,take,받다
21 단원,order,"주문,주문하다"
21 단원,cook,"요리사,요리하다"
21 단원,chef,"요리사,주방장"
21 단원,buffet,"뷔페 식당,뷔페식 상차림"
21 단원,waiter,웨이터
21 단원,dessert,"디저트,후식"
21 단원,napkin,냅킨
21 단원,restaurant,음식점
21 단원,set,"놓다,준비하다"
21 단원,deliver,배달하다
21 단원,wipe,닦다
21 단원,straw,"빨대,지푸라기"
21 단원,bite,"한 입,물다"
21 단원,spill,"흘리다,엎지르다"
21 단원,special,"특별한 것,특별 메뉴,특별한"
21 단원,rare,"(고기 등이)덜 익은,드문,희귀한"
21 단원,calorie,"칼로리,열량"
21 단원,serve,"시중들다,제공하다"
21 단원,tip,"팁,(물건,신체의)뾰족한 끝"
21 단원,beverage,음료
21 단원,refill,"새 보충물,다시 채우다,보충하다"
21 단원,wrap,"싸다,포장하다,포장지"
21 단원,bill,"계산서,청구서"
21 단원,total,"합계,총액,전체의,총"
21 단원,ingredient,재료
21 단원,recommend,추천하다
21 단원,appetite,식욕
22 단원,sand,모래
22 단원,wave,파도
22 단원,shell,조개
22 단원,suntan,"선탠,볕에 그을음"
22 단원,stone,돌
22 단원,raft,"고무보트,뗏목"
22 단원,yacht,요트
22 단원,sunglasses,선글라스
22 단원,parasol,"파라솔,양산"
22 단원,mat,"돗자리,매트"
22 단원,vacation,방학
22 단원,rock,"바위,암석"
22 단원,whistle,"호각,호각을 불다"
22 단원,lifeboat,구명보트
22 단원,scuba,"스쿠버,잠수용 호흡장치"
22 단원,swimsuit,수영복
22 단원,sunblock,자외선 차단제
22 단원,cooler,냉장 박스
22 단원,blanket,담요
22 단원,shade,그늘
22 단원,shore,"물가,기슭"
22 단원,pail,양동이
22 단원,sunbath,일광욕
22 단원,lifeguard,인명 구조원
22 단원,float,"물 위에 뜨다,(배 등을)띄우다"
22 단원,flipper,"물갈퀴,오리발"
22 단원,binoculars,쌍안경
22 단원,snorkel,"스노클을 쓰고 잠수하다,헤엄치다"
22 단원,pebble,"조약돌,자갈"
22 단원,expose,노출하다
23 단원,festival,축제
23 단원,Valentine,밸런타인
23 단원,color,"색,색칠하다"
23 단원,birthday,생일
23 단원,card,카드
23 단원,candle,초
23 단원,blow,끄다
23 단원,Christmas,크리스마스
23 단원,candy,사랑
23 단원,year,"해,년"
23 단원,wish,"소원,기원하다"
23 단원,mask,가면
23 단원,honeymoon,신혼여행
23 단원,Easter,부활절
23 단원,hide,숨기다
23 단원,invitation,"초대,초대장"
23 단원,Eve,"전날 밤,이브"
23 단원,decorate,장식하다
23 단원,witch,마녀
23 단원,trick,속이다
23 단원,costume,"복장,의상"
23 단원,turkey,"칠면조,칠면조 고기"
23 단원,congratulate,축하하다
23 단원,Thanksgiving,추수 감사절
23 단원,Halloween,핼러윈
23 단원,reindeer,순록
23 단원,lantern,랜턴
23 단원,skeleton,해골
23 단원,stuff,(속을)채우다
23 단원,crowded,"붐비는,혼잡한"
24 단원,jump,점프하다
24 단원,seesaw,"시소,시소를 타다"
24 단원,pond,연못
24 단원,ride,"탈것,타다"
24 단원,bench,"긴 의자,벤치"
24 단원,event,"사건,행사"
24 단원,picnic,소풍
24 단원,zoo,동물원
24 단원,run,달리다
24 단원,concert,"콘서트,공연"
24 단원,visit,방문하다
24 단원,rope,줄
24 단원,backpack,"배낭,배낭을 지고 걷다"
24 단원,slide,"미끄럼틀,미끄러지다"
24 단원,fountain,분수
24 단원,playground,"놀이터,운동장"
24 단원,swing,"그네,그네를 타다"
24 단원,sleeping bag,침낭
24 단원,campfire,모닥불
